application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2016-07-19,Ecuador,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2016-11-23,Mexico,Joan B. Geller,dismiss,,,,,male
,2016-01-07,,Gabriel Gonzalez,grant,,,,,male
,2016-10-25,Nigeria,Anne J. Greer,dismiss,,,,,female
,2016-09-21,El Salvador,Ellen Liebowitz; Gabriel Gonzalez,remand,,,,,female
,2016-04-11,Honduras,Gabriel Gonzalez; Edward R. Grant,deny,,family-based,family,,male
,2016-02-04,Mexico,Anne J. Greer,deny,,,,,male
,2016-09-29,,V. Stuart Couch,deny,,,,,male
,2016-03-14,India,Ana Landazabal Mann; Joan B. Geller; Garry D. Malphrus,deny,,,,,male
,2016-06-14,Honduras,Anne J. Greer,remand,,,,,male
,2016-07-15,,Anne J. Greer,deny,,gang-based,gang,,male
,2016-06-27,Honduras,Anne J. Greer,sustain,nationality,,,,male
,2016-11-21,Guatemala,Ana Landazabal Mann; Blair O'Connor,sustain,,,,,male
,2016-04-22,,Ana Landazabal Mann; Edward R. Grant,deny,,,,,unkown
,2016-09-09,Jamaica,Edward R. Grant,remand,,,,,male
,2016-05-11,,Hugh Mullane,dismiss,,,,,male
,2016-03-23,South Korea,Charles Adkins-Blanch,deny,nationality,,,,male
,2016-07-14,Mexico,Ana Landazabal Mann,deny,,,,,male
,2016-07-25,,Ellen Liebowitz,remand,,,,,female
,2016-03-15,El Salvador,Charles Adkins-Blanch,return,,,,,female
,2016-08-17,Peru,Anne J. Greer,dismiss,,,,,male
,2016-02-26,Jamaica,Anne J. Greer,remand,,,,,male
,2016-03-15,El Salvador,Charles Adkins-Blanch,sustain,nationality,,,,male
,2016-03-14,Guatemala,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2016-12-13,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2016-06-30,Honduras,Charles Adkins-Blanch,deny,,,,,male
,2016-02-04,Peru,Edward R. Grant,grant,,,,,male
,2016-07-15,Honduras,Ana Landazabal Mann,deny,,,,,male
,2016-11-02,,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2016-06-07,,Charles Adkins-Blanch,sustain,,,,,female
,2016-02-08,,Gabriel Gonzalez,remand,,,,,male
,2016-01-05,Jamaica,Edward F. Kelly,remand,nationality,,,,male
,2016-12-02,Barbados,Anne J. Greer; Joan B. Geller,deny,,,,,male
,2016-01-08,El Salvador,Anne J. Greer; Gabriel Gonzalez,deny,,family-based,parent,,female
,2016-11-04,Guatemala,Ellen Liebowitz,dismiss,,,,,female
,2016-08-04,Dominican Republic,Blair O'Connor,grant,,,,,male
,2016-07-19,,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2016-01-28,Dominican Republic,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2016-08-30,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2016-06-14,Costa Rica,Anne J. Greer,,,,,,male
,2016-06-07,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2016-03-17,El Salvador,Gabriel Gonzalez; Edward R. Grant,sustain,,,,,male
,2016-12-13,Honduras,Charles Adkins-Blanch; Blair O'Connor,sustain,,,,,male
,2016-11-21,,Gabriel Gonzalez; Deborah K. Goodwin,remand,,,,,male
,2016-08-22,Georgia,Charles Adkins-Blanch; Sirce E. Owen; Blair O'Connor,sustain,,,,,female
,2016-11-18,Mexico,Ana Landazabal Mann; Blair O'Connor,return,,,,,male
,2016-03-09,Mexico,Edward R. Grant,sustain,,,,,male
,2016-10-12,El Salvador,Anne J. Greer,grant,,,,,female
,2016-11-03,El Salvador,Ana Landazabal Mann; Blair O'Connor,sustain,,,,,female
,2016-04-05,Cuba,Earle B. Wilson; Ana Landazabal Mann; Edward R. Grant,grant,,,,,male
,2016-08-29,,Ana Landazabal Mann,remand,,,,,male
,2016-08-10,Mexico,Blair O'Connor,grant,,,,,male
,2016-10-12,Georgia,Earle B. Wilson; Sirce E. Owen,remand,,,,,male
,2016-05-31,Honduras,V. Stuart Couch; Anne J. Greer,deny,,,,,female
,2016-12-22,,William A. Cassidy; Garry D. Malphrus,,,,,,male
,2016-12-16,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,remand,,,,,male
,2016-11-10,Georgia,Charles Adkins-Blanch; Ana Landazabal Mann; William A. Cassidy,grant,,,,,male
,2016-02-24,Venezuela,Earle B. Wilson; Anne J. Greer; Garry D. Malphrus,,,,,,male
,2016-03-08,Brazil,Ana Landazabal Mann,remand,,,,,male
,2016-08-17,Mexico,Michael P. Baird; Anne J. Greer; Gabriel Gonzalez,remand,,,,,male
,2016-12-27,Honduras,Anne J. Greer,remand,,,,,unkown
asylum; withholding_of_removal; CAT,2016-04-29,Mexico,Charles Adkins-Blanch; Anne J. Greer,remand,,,,,female
,2016-12-27,,Joan B. Geller,terminate,,,,,male
,2016-07-18,Bangladesh,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2016-07-13,,Charles Adkins-Blanch,deny,,family-based,child,,male
,2016-11-22,,Michael J. Creppy; Anne J. Greer,sustain,,family-based,child,,male
,2016-09-28,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,sustain,,,,,female
,2016-04-11,Honduras,Gabriel Gonzalez,deny,nationality,,,,female
,2016-10-20,,Anne J. Greer,deny,,,,,male
,2016-02-22,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2016-10-27,El Salvador,Philip J. Montante Jr.,deny,,,,,male
,2016-11-15,Peru,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,remand,nationality,,,,male
,2016-02-10,Guatemala,Charles Adkins-Blanch; Edward R. Grant,sustain,nationality,,,,male
,2016-06-30,Honduras,Anne J. Greer,sustain,,,,,female
,2016-02-11,,Anne J. Greer; Edward R. Grant,terminate,,,,,male
,2016-08-10,Mexico,Ana Landazabal Mann,grant,,,,,male
,2016-11-18,Guatemala,Earle B. Wilson; Anne J. Greer; Philip J. Montante Jr.,remand,nationality,,,,male
,2016-01-06,Philippines,Anne J. Greer; Gabriel Gonzalez,deny,,,,,male
,2016-04-13,Nepal,Gabriel Gonzalez; Ana Landazabal Mann; Edward R. Grant,sustain,nationality,,,,male
,2016-05-06,El Salvador,Anne J. Greer,remand,,,,,male
,2016-07-01,Mexico,Ana Landazabal Mann,sustain,,,,,male
,2016-04-29,Honduras,Ana Landazabal Mann; Edward R. Grant,sustain,,,,,female
,2016-10-28,China,Ana Landazabal Mann; Blair O'Connor,deny,,,,,male
,2014-09-10,Peru,Charles Adkins-Blanch,sustain,nationality,,,,female
,2016-01-19,Honduras,Anne J. Greer,remand,,,,,male
,2016-12-29,Brazil,Ana Landazabal Mann,return,,,,,female
,2016-02-03,El Salvador,Charles Adkins-Blanch; Edward R. Grant,deny,,,,,female
,2016-07-19,,Philip J. Montante Jr.,terminate,,,,,male
,2016-09-01,Honduras,Sirce E. Owen,remand,,,,,male
