application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2014-04-09,Mexico,Anne J. Greer,remand,,family-based,parent,,male
,2018-04-30,Mexico,Ellen Liebowitz; Joan B. Geller; Hugh Mullane,deny,,family-based,family,,male
,2018-09-17,Mexico,Joan B. Geller,remand,,,,,male
,2014-03-28,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2014-09-17,Mexico,Anne J. Greer,sustain,,,,,male
,2014-11-21,,Philip J. Montante Jr.,deny,,,,,male
,2016-10-27,Ghana,Ana Landazabal Mann,grant,,,,,female
,2017-06-29,Mexico,Charles Adkins-Blanch,remand,,,,,male
,2014-02-20,Mexico,Charles Adkins-Blanch; Edward R. Grant,return,,,,,male
,2014-12-19,Honduras,Ana Landazabal Mann; Garry D. Malphrus,deny,,,,,male
,2017-12-06,Mexico,Charles Adkins-Blanch; Edward F. Kelly; Ana Landazabal Mann; Gabriel Gonzalez,remand,,,,,male
,2014-01-23,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2014-07-03,Guatemala,Gabriel Gonzalez,remand,,,,,male
,2017-10-03,Cuba,Ana Landazabal Mann,sustain,,family-based,daughter,,male
asylum; withholding_of_removal; CAT,2014-01-28,Ethiopia,Ana Landazabal Mann; Ellen Liebowitz,remand,,,,,male
,2017-10-27,Mexico,Ana Landazabal Mann; Anne J. Greer,sustain,,family-based,family,,male
,2014-02-07,Ecuador,Anne J. Greer,deny,,,,,male
,2017-03-27,,Garry D. Malphrus; Hugh Mullane,,nationality,family-based,child,,male
,2017-05-12,Mexico,Ellen Liebowitz,terminate,,family-based,child,,male
,2017-03-10,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2014-05-29,,Gabriel Gonzalez,deny,,,,,male
,2017-11-29,Mexico,Blair O'Connor,deny,,,,,male
,2014-02-25,Belize,Anne J. Greer,deny,nationality,,,,female
,2017-05-09,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,sustain,,,,,female
asylum; withholding_of_removal,2017-06-12,Dominican Republic,Edward F. Kelly; Anne J. Greer,grant,,family-based,family; child,,male
,2014-07-15,Mexico,Charles Adkins-Blanch,return,,,,,male
,2014-07-28,Mexico,Edward R. Grant,dismiss,,,,,male
,2014-04-25,Dominican Republic,Anne J. Greer; Garry D. Malphrus,sustain,,gang-based,gang,,male
,2017-11-03,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant; Edward F. Kelly,deny,,,,,female
,2014-06-04,Mexico,Gabriel Gonzalez; Edward R. Grant,return,nationality,,,,male
,2017-07-28,Mexico,Anne J. Greer,remand,nationality,,,,male
,2017-12-11,,Philip J. Montante Jr.,grant,,,,,male
,2014-11-25,,Anne J. Greer,remand,,family-based,son; child,,male
,2017-03-03,Jamaica,Charles Adkins-Blanch; Blair O'Connor,return,,,,,male
,2017-10-11,Guatemala,Charles Adkins-Blanch,deny,,,,,male
,2014-10-28,,Charles Adkins-Blanch,remand,,,,,male
,2017-03-30,Mexico,Gabriel Gonzalez,dismiss,,,,,male
,2017-05-04,Ecuador,Earle B. Wilson; Anne J. Greer,dismiss,,,,,male
,2017-09-28,Guatemala,Michael P. Baird; Ellen Liebowitz; Hugh Mullane,remand,,,,,female
,2014-03-21,,Ellen Liebowitz,grant,,,,,unkown
,2017-01-06,Mexico,Charles Adkins-Blanch; Blair O'Connor,return,,family-based; gang-based,family; gang,,male
,2014-01-24,Mexico,Ellen Liebowitz,,,,,,male
,2017-09-29,Guatemala,Edward F. Kelly; Anne J. Greer,remand,,,,,male
,2014-01-28,Haiti,Anne J. Greer,sustain,,,,,male
,2017-08-23,El Salvador,Ana Landazabal Mann; Edward F. Kelly,return,nationality,,,,female
,2017-05-04,,Ellen Liebowitz,remand,,,,,male
,2014-09-22,Mexico,Anne J. Greer; Garry D. Malphrus,sustain,,,,,male
,2017-07-26,Mexico,Blair O'Connor,remand,,,,,male
,2014-06-05,Ghana,Edward R. Grant,sustain,,,,,female
CAT,2017-07-21,Mexico,Anne J. Greer,sustain,,family-based,child,,male
,2017-05-16,,Ellen Liebowitz; Garry D. Malphrus,remand,nationality,,,,male
,2014-09-19,South Korea,Anne J. Greer,remand,,,,,female
,2017-11-03,Honduras,Edward F. Kelly; Anne J. Greer,sustain,nationality,,,,male
,2014-12-18,Mexico,Edward R. Grant; Garry D. Malphrus; Hugh Mullane,remand,,,,,female
,2017-10-06,Georgia,Anne J. Greer; Edward R. Grant; Hugh Mullane,grant,,,,,male
,2017-03-29,Mexico,Ana Landazabal Mann; V. Stuart Couch; Edward F. Kelly,grant,,,,,male
asylum; withholding_of_removal; CAT,2014-06-23,Senegal,Anne J. Greer,remand,,family-based,daughter,,female
,2017-10-27,Iran,Charles Adkins-Blanch; Anne J. Greer,dismiss,,,,,male
,2014-04-02,Mexico,Ana Landazabal Mann; Michael J. Creppy; Hugh Mullane,dismiss,nationality,,,,male
,2017-09-13,El Salvador,Anne J. Greer,deny,,,,,female
,2017-09-11,Venezuela,Ana Landazabal Mann; Edward R. Grant,deny,,,,,male
,2017-12-19,Nigeria,Charles Adkins-Blanch,return,,,,,male
,2014-08-21,Mexico,Earle B. Wilson; Anne J. Greer,,,family-based,child,,male
asylum,2017-05-22,,Anne J. Greer,,,,,,female
,2014-08-29,Guatemala,Charles Adkins-Blanch,deny,,,,,male
asylum; withholding_of_removal; CAT,2016-09-02,Mexico,Edward F. Kelly; Anne J. Greer,remand,social,family-based,parent; family; husband; child; daughter,"Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",female
,2014-03-18,Honduras,Gabriel Gonzalez; Edward R. Grant,grant,,,,,male
,2017-05-25,Ecuador,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2017-02-27,Nigeria,Charles Adkins-Blanch,deny,,,,,male
,2014-05-30,Honduras,Charles Adkins-Blanch,sustain,,,,,female
,2016-06-14,El Salvador,Anne J. Greer,remand,political,,,,male
,2015-06-12,,Garry D. Malphrus,remand,,,,,female
,2014-11-13,El Salvador,Ana Landazabal Mann; Anne J. Greer; Hugh Mullane,remand,,,,,male
,2017-01-19,Guatemala,Charles Adkins-Blanch,sustain,nationality,,,,male
asylum; withholding_of_removal; CAT,2014-09-25,Bahamas,Anne J. Greer,sustain,,gang-based,gang,,male
,2017-09-21,South Korea,Charles Adkins-Blanch,sustain,nationality,,,,female
,2017-03-09,Honduras,Charles Adkins-Blanch; Edward R. Grant,deny,,,,,female
,2017-10-19,Jamaica,Earle B. Wilson; Ellen Liebowitz,remand,,,,,male
,2017-06-27,Honduras,Charles Adkins-Blanch,sustain,,,,,male
,2017-04-06,,Gabriel Gonzalez,remand,,,,,male
,2014-12-29,Mexico,Charles Adkins-Blanch,grant,,,,,male
,2017-02-03,Guatemala,Michael J. Creppy; Hugh Mullane,sustain,political,family-based,child,,male
,2014-07-30,El Salvador,Anne J. Greer,sustain,,,,,male
,2017-09-01,Mexico,Blair O'Connor,sustain,nationality,family-based,partner,,male
,2017-10-19,,Charles Adkins-Blanch; Edward R. Grant; Hugh Mullane,deny,,family-based,child,,female
,2014-09-28,,Ellen Liebowitz,sustain,,,,,female
,2017-11-15,Mexico,Blair O'Connor; Anne J. Greer,remand,,gang-based,gang,,male
withholding_of_removal; CAT,2017-07-26,Georgia,Ellen Liebowitz,remand,,,,,female
,2017-04-17,,Philip J. Montante Jr.,terminate,,,,,male
,2014-02-04,South Korea,Anne J. Greer,remand,,,,,female
,2017-05-19,El Salvador,Anne J. Greer,sustain,,,,,male
,2014-08-27,Mexico,Garry D. Malphrus,remand,,,,,male
,2014-05-29,Philippines,Gabriel Gonzalez,dismiss,,,,,unkown
,2014-05-27,Mexico,Anne J. Greer,remand,,,,,male
,2017-12-01,,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,deny,,,,,male
,2017-10-06,Yemen,Charles Adkins-Blanch; Edward R. Grant,sustain,,family-based,family,,male
,2014-05-29,Mexico,Charles Adkins-Blanch,,,,,,male
,2017-06-23,Georgia,Charles Adkins-Blanch; Ana Landazabal Mann; Earle B. Wilson,sustain,nationality,,,,female
,2017-06-07,Senegal,Ana Landazabal Mann; Gabriel Gonzalez,deny,nationality,,,,female
,2017-05-24,,Blair O'Connor,terminate,,,,,male
,2014-10-07,Georgia,Charles Adkins-Blanch,dismiss,,,,,male
,2014-03-10,,Charles Adkins-Blanch,remand,,,,,female
,2017-10-12,Honduras,Anne J. Greer,grant,,,,,female
,2014-06-27,Colombia,Edward F. Kelly,remand,,,,,female
,2017-05-26,Mexico,Blair O'Connor; Anne J. Greer,grant,,,,,male
,2014-01-06,Mexico,Ana Landazabal Mann,remand,,family-based,family,,male
,2017-12-29,Honduras,Anne J. Greer,remand,,,,,female
,2014-03-11,Mexico,Garry D. Malphrus,sustain,,,,,male
,2014-11-26,India,Ellen Liebowitz; Garry D. Malphrus,deny,,,,,male
,2016-11-30,Mexico,Anne J. Greer; Hugh Mullane,,,,,,male
,2016-02-04,Jamaica,Charles Adkins-Blanch; Edward R. Grant,grant,,,,,male
,2017-11-27,,Edward F. Kelly,terminate,nationality,,,,male
,2014-12-22,Cambodia,Ana Landazabal Mann,terminate,,,,,male
,2014-06-27,Mexico,Edward R. Grant,sustain,,,,,male
,2017-09-12,Georgia,Edward F. Kelly; Garry D. Malphrus,,,,,,male
,2017-02-17,Guatemala,Edward F. Kelly; Anne J. Greer; Hugh Mullane,terminate,,,,,male
,2017-08-17,Georgia,Charles Adkins-Blanch; Anne J. Greer,deny,nationality,,,,male
,2016-09-08,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2017-01-26,Pakistan,Anne J. Greer; Hugh Mullane,deny,,,,,male
,2017-05-15,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,sustain,,,,,female
,2014-01-28,El Salvador,Gabriel Gonzalez; Charles Adkins-Blanch; Edward R. Grant,deny,race,,,,male
,2017-04-06,Ghana,Edward F. Kelly; Anne J. Greer,remand,,,,,male
,2014-12-18,India,Gabriel Gonzalez,deny,,,,,male
,2017-03-28,Ecuador,Blair O'Connor,deny,,,,,male
,2014-07-08,,Hugh Mullane,grant,,,,,female
,2017-05-19,,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,deny,,,,,female
,2017-01-31,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2017-05-19,Mexico,Charles Adkins-Blanch; Garry D. Malphrus,remand,,,,,male
,2017-01-06,Mexico,Garry D. Malphrus; Hugh Mullane,dismiss,,,,,male
,2014-08-07,Mexico,Anne J. Greer,terminate,,,,,female
,2017-09-29,Honduras,Edward F. Kelly; Anne J. Greer,deny,,,,,male
,2017-03-31,Mexico,Ana Landazabal Mann,sustain,,,,,male
,2014-04-03,Jamaica,Anne J. Greer,deny,,,,,female
,2017-01-31,Guatemala,Kevin W. Riley; Sirce E. Owen,return,,,,,female
,2014-04-11,El Salvador,Charles Adkins-Blanch,sustain,,,,,female
,2017-12-29,Mexico,Garry D. Malphrus,remand,,,,,male
,2017-05-30,Haiti,Garry D. Malphrus; Hugh Mullane,terminate,,gang-based,gang,,male
,2017-02-15,Jamaica,Edward F. Kelly,remand,nationality,,,,male
,2017-12-08,Mexico,Michael J. Creppy; Hugh Mullane,deny,,,,,male
,2015-06-12,,Charles Adkins-Blanch,remand,,,,,male
asylum; withholding_of_removal; CAT,2017-01-12,Haiti,Anne J. Greer; Hugh Mullane,sustain,,,,,male
,2017-09-19,Dominican Republic,Edward F. Kelly,grant,,,,,male
,2015-09-17,Puerto Rico,Gabriel Gonzalez,remand,nationality,,,,male
asylum; withholding_of_removal; CAT,2017-11-17,Guatemala,Edward R. Grant,remand,,,,,male
,2015-07-07,Mexico,Anne J. Greer; Hugh Mullane,sustain,,,,,male
,2017-03-09,Mexico,Charles Adkins-Blanch; Anne J. Greer,remand,,family-based,child; daughter,,male
,2017-09-20,,Ellen Liebowitz,return,,,,,unkown
,2015-11-12,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2012-11-16,,Charles Adkins-Blanch,deny,,,,,male
,2012-05-21,Mexico,Anne J. Greer,deny,,,,,male
withholding_of_removal; CAT,2019-04-11,Honduras,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,religion; social,,,,female
,2012-09-13,El Salvador,Charles Adkins-Blanch,remand,,,,,male
,2019-01-15,El Salvador,Michael J. Creppy; Gabriel Gonzalez; Garry D. Malphrus,remand,,family-based,child; daughter,,male
asylum; withholding_of_removal; CAT,2019-02-21,Guatemala,Anne J. Greer,remand,social,family-based,child,,female
,2019-11-27,Nicaragua,Mark Noferi; Anne J. Greer,remand,,,,,male
,2019-03-11,,Anne J. Greer,remand,,,,,male
,2012-03-21,Nicaragua,Charles Adkins-Blanch,dismiss,,,,,male
,2019-11-13,,Earle B. Wilson; Anne J. Greer,sustain,,,,,male
,2019-02-19,Philippines,Anne J. Greer,terminate,nationality,,,,male
,2019-04-12,Mexico,Anne J. Greer,remand,,,,,male
,2012-06-27,Mexico,Hugh Mullane,remand,,,,,male
,2012-04-20,Honduras,Charles Adkins-Blanch,sustain,,,,,male
,2019-01-17,El Salvador,Charles Adkins-Blanch,sustain,,,,,female
,2012-05-11,Mexico,Anne J. Greer,remand,nationality,,,,male
,2019-03-06,,Edward F. Kelly; Ana Landazabal Mann,remand,,,,,male
,2012-04-30,Mexico,Charles Adkins-Blanch,sustain,,,,,male
withholding_of_removal,2019-03-11,Guatemala,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2019-07-09,,Ana Landazabal Mann,remand,,,,,male
,2012-12-21,El Salvador,Ellen Liebowitz; Michael J. Creppy,sustain,,,,,male
,2019-10-18,Iraq,Edward R. Grant,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-04-22,Honduras,Anne J. Greer,remand,social,gender-based; family-based,homosexuality; lesbian; partner; woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2019-09-20,Jamaica,Anne J. Greer,dismiss,,family-based,child; partner,,male
,2019-12-05,Brazil,Anne J. Greer,remand,,,,,male
asylum,2019-09-10,Mexico,Ellen Liebowitz; Michael J. Creppy; Michael P. Baird,remand,religion; social,family-based; gang-based,family; gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2019-04-02,Bangladesh,Ana Landazabal Mann,remand,,,,,male
,2012-02-24,Dominican Republic,Charles Adkins-Blanch,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-01-28,Georgia,Charles Adkins-Blanch; Edward F. Kelly,remand,social; political,family-based,ethnicity,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2019-01-18,Mexico,Garry D. Malphrus,dismiss,nationality,,,,male
,2019-02-28,Honduras,Anne J. Greer,remand,nationality,,,,female
,2012-01-31,Mexico,Garry D. Malphrus,dismiss,,,,,male
CAT,2019-03-08,,Gabriel Gonzalez,remand,,,,,male
,2019-12-31,Guatemala,Edward F. Kelly; Edward R. Grant,sustain,,,,,female
,2012-11-30,Mexico,Anne J. Greer,sustain,,gang-based,gang,,male
,2012-10-05,,Charles Adkins-Blanch,deny,,,,,male
,2019-10-16,Cuba,Earle B. Wilson; Ana Landazabal Mann,dismiss,,,,,male
,2018-12-18,,Ana Landazabal Mann; Hugh Mullane,dismiss,,gang-based,gang,,male
,2012-07-12,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2019-06-18,Mexico,Charles Adkins-Blanch,remand,,family-based,child,,male
asylum; withholding_of_removal; CAT,2019-04-10,Guatemala,Blair O'Connor,remand,social; political,family-based,ethnicity,,male
,2012-07-12,Honduras,Charles Adkins-Blanch,remand,,,,,male
,2019-12-06,South Korea,Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
CAT,2019-12-16,Ethiopia,Michael P. Baird; Earle B. Wilson; Michael J. Creppy; Garry D. Malphrus,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-10-20,Honduras,Edward R. Grant,remand,political,,,,male
,2012-02-08,Jordan,Michael J. Creppy; Gabriel Gonzalez,dismiss,nationality,,,,male
,2019-05-02,,Ana Landazabal Mann; Edward F. Kelly,terminate,,,,,male
,2013-06-04,,Ana Landazabal Mann,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-03-27,Guatemala,Blair O'Connor; Anne J. Greer,remand,religion; social,,,,female
,2013-10-11,Mexico,Gabriel Gonzalez; Garry D. Malphrus,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2019-09-09,Brazil,Mark Noferi; Garry D. Malphrus,remand,social,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2013-07-02,,Charles Adkins-Blanch,remand,,,,,male
,2019-10-30,Mexico,Ana Landazabal Mann,remand,,,,,male
,2013-07-09,Mexico,Anne J. Greer,dismiss,,,,,female
,2019-02-07,Mexico,Anne J. Greer,remand,,family-based,child; partner; family,,male
,2019-11-07,Mexico,Anne J. Greer; Gabriel Gonzalez,remand,,,,,male
,2013-08-16,Panama,Anne J. Greer,dismiss,,gang-based,gang,,male
,2019-07-15,Mexico,Ellen Liebowitz; Garry D. Malphrus,remand,,,,,male
asylum,2019-03-28,Iraq,Michael J. Creppy; Hugh Mullane,remand,religion,,,,male
,2013-12-31,Mexico,Charles Adkins-Blanch,deny,,,,,male
,2019-08-02,India,Charles Adkins-Blanch; Edward F. Kelly; Ana Landazabal Mann,remand,,,,,male
,2019-11-06,Colombia,Michael P. Baird; Anne J. Greer,remand,,,,,male
,2019-11-22,,Edward R. Grant,grant,,,,,male
,2013-08-22,Mexico,Anne J. Greer,remand,,,,,male
,2019-09-19,Guatemala,Anne J. Greer,sustain,,,,,male
asylum,2019-12-19,Honduras,Anne J. Greer,remand,social,family-based,woman,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2019-05-03,Peru,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-12-12,Guatemala,Edward F. Kelly,remand,,family-based,child,,female
,2019-07-02,Yemen,Edward R. Grant,grant,nationality,family-based,wife,,male
,2013-09-30,,Anne J. Greer,remand,,,,,female
,2019-09-06,Mexico,Anne J. Greer; Mark Noferi,deny,,,,,male
,2019-07-11,Nigeria,Anne J. Greer,dismiss,,,,,female
,2013-07-23,India,Charles Adkins-Blanch,sustain,nationality,,,,male
,2019-12-05,Mexico,Michael P. Baird; William A. Cassidy,remand,,,,,male
,2013-08-23,Honduras,Anne J. Greer,deny,,,,,female
asylum; withholding_of_removal; CAT,2019-09-04,Guatemala,Anne J. Greer; Mark Noferi,remand,political,family-based,family; child,,female
,2013-01-14,Mexico,Charles Adkins-Blanch,grant,,,,,unkown
,2019-02-21,,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-03-26,,Garry D. Malphrus; Hugh Mullane,remand,,,,,female
,2019-08-07,Guinea,Michael P. Baird; Anne J. Greer,remand,,,,,male
,2019-05-09,El Salvador,Edward F. Kelly,remand,,,,,male
,2013-10-04,,Charles Adkins-Blanch,dismiss,,family-based,son,,male
asylum; withholding_of_removal; CAT,2018-03-22,,Edward R. Grant,remand,,,,,male
,2019-05-09,Nicaragua,Anne J. Greer,sustain,,,,,unkown
,2013-05-31,Cameroon,Earle B. Wilson,sustain,,,,,female
,2019-04-29,El Salvador,Edward F. Kelly,remand,,,,,male
,2013-07-09,Mexico,Gabriel Gonzalez; Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2019-04-30,El Salvador,Ellen Liebowitz; Sirce E. Owen; Michael J. Creppy,terminate,,,,,male
asylum; withholding_of_removal; CAT,2019-09-27,El Salvador,Blair O'Connor,remand,social,gang-based,gang,,male
,2013-08-13,Ghana,Philip J. Montante Jr.,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-04-05,El Salvador,Charles Adkins-Blanch,remand,,,,,male
,2013-10-08,Jamaica,Anne J. Greer,sustain,,family-based,family,,female
,2013-06-21,,Anne J. Greer,deny,,,,,male
,2019-07-11,,Charles Adkins-Blanch,sustain,,,,,female
,2019-04-12,,Edward F. Kelly,dismiss,,,,,male
,2019-11-12,,Edward F. Kelly; Hugh Mullane,remand,,,,,male
withholding_of_removal,2019-10-20,Mexico,Deborah K. Goodwin,sustain,social,gender-based; family-based,transgender; woman,,female
,2019-04-25,Mexico,Edward F. Kelly,grant,,,,,female
,2019-11-27,Mexico,Earle B. Wilson; Anne J. Greer,sustain,,,,,male
,2019-07-26,,Edward F. Kelly,remand,,,,,female
,2019-11-22,Mexico,Ana Landazabal Mann; Edward F. Kelly,remand,,,,,male
,2013-05-07,Mexico,Ana Landazabal Mann; Philip J. Montante Jr.,remand,,,,,male
withholding_of_removal; CAT,2019-09-25,Mexico,Ana Landazabal Mann,remand,,,,,male
,2019-03-08,Nigeria,Blair O'Connor,grant,,,,,male
,2019-12-16,Jamaica,Mark Noferi; Anne J. Greer,sustain,,,,,male
,2019-04-12,Georgia,Ana Landazabal Mann,remand,,,,,female
,2013-08-16,Ireland,Anne J. Greer,return,,,,,male
,2019-06-26,Dominican Republic,Edward F. Kelly; Kevin W. Riley,grant,,,,,male
asylum; withholding_of_removal; CAT,2019-10-18,,Charles Adkins-Blanch; Ana Landazabal Mann,remand,social,,,,female
,2019-05-15,Mexico,Edward R. Grant; Gabriel Gonzalez,grant,,,,,male
,2013-08-02,Guatemala,Garry D. Malphrus,grant,,,,,male
,2019-11-07,,Ana Landazabal Mann; Edward F. Kelly; Hugh Mullane,sustain,,,,,male
,2019-05-02,Mexico,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2013-09-23,El Salvador,Gabriel Gonzalez,deny,,,,,male
,2019-06-14,Mexico,Edward F. Kelly; Edward R. Grant,remand,,,,,male
,2019-05-31,Mexico,Anne J. Greer,remand,,,,,male
,2019-07-16,,Ellen Liebowitz,sustain,,,,,male
,2019-10-15,Mexico,Deborah K. Goodwin,grant,,,,,female
,2019-02-06,Guyana,Edward R. Grant,remand,,,,,male
,2013-12-20,Dominican Republic,Gabriel Gonzalez,remand,,,,,male
,2019-07-18,Mexico,Michael J. Creppy,remand,,,,,male
,2019-09-23,Ecuador,Ana Landazabal Mann,sustain,,,,,male
withholding_of_removal,2019-03-18,Guatemala,Garry D. Malphrus; Hugh Mullane,remand,social,gender-based,homosexual,,male
,2019-09-16,,Charles Adkins-Blanch; Edward F. Kelly,terminate,,,,,male
,2019-11-29,,Edward F. Kelly,terminate,,,,,female
asylum; withholding_of_removal; CAT,2019-11-25,Mexico,Michael P. Baird,remand,,,,,male
,2019-06-21,El Salvador,Ellen Liebowitz,remand,,family-based,child,,female
,2019-05-03,,Ana Landazabal Mann,terminate,,,,,male
,2013-11-29,Guatemala,Hugh Mullane,deny,,,,,male
asylum; withholding_of_removal,2019-12-13,Indonesia,Anne J. Greer,remand,religion; nationality,,,,male
,2019-12-12,El Salvador,Edward R. Grant,remand,,,,,female
,2013-10-23,Bahamas,Charles Adkins-Blanch,return,,,,,female
,2019-06-20,Mexico,Edward F. Kelly,grant,,,,,male
,2019-04-30,Mexico,Anne J. Greer; Gabriel Gonzalez,grant,,,,,male
,2013-09-09,Mexico,Anne J. Greer,grant,,,,,female
,2019-05-10,Dominican Republic,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2013-07-11,Mexico,Anne J. Greer,remand,,,,,male
,2019-06-18,,Ana Landazabal Mann,remand,,,,,female
,2013-10-04,Thailand,Charles Adkins-Blanch,remand,,,,,male
,2019-05-10,Jamaica,Gabriel Gonzalez; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-02-01,Honduras,Garry D. Malphrus; Hugh Mullane,remand,nationality; religion; social; race; political,gang-based,gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2013-08-30,Mexico,Hugh Mullane,grant,,,,,male
,2019-09-16,Mexico,Mark Noferi; Anne J. Greer,remand,,family-based,son; parent,,male
,2019-04-08,Philippines,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,terminate,,,,,female
,2013-11-18,Haiti,Anne J. Greer,,nationality,,,,male
,2019-05-20,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2019-02-19,,Anne J. Greer,remand,,,,,male
,2019-12-23,,Keith E. Hunsucker; Michael J. Creppy; Mark Noferi,remand,,,,,male
,2013-10-28,India,Charles Adkins-Blanch,remand,,,,,male
,2019-01-04,Mexico,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,female
,2013-05-15,Georgia,Charles Adkins-Blanch; Philip J. Montante Jr.,sustain,,,,,male
CAT,2019-10-03,Mexico,Edward R. Grant,remand,,family-based; gang-based,woman; gang,,male
,2013-11-13,,Charles Adkins-Blanch; Edward R. Grant,dismiss,,,,,male
,2019-06-13,,Anne J. Greer,remand,,,,,female
,2019-03-28,,Ana Landazabal Mann,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-07-02,El Salvador,Blair O'Connor,remand,social; political,,,,male
,2019-04-25,,Anne J. Greer,remand,,,,,female
,2019-10-17,,Ellen Liebowitz; Garry D. Malphrus; Michael J. Creppy,deny,,,,,unkown
,2013-05-09,Mexico,Gabriel Gonzalez,remand,,,,,male
,2019-11-15,Mexico,Anne J. Greer,dismiss,,,,,unkown
asylum; withholding_of_removal,2019-05-20,El Salvador,Edward F. Kelly; Ana Landazabal Mann,remand,,,,,female
,2019-07-12,Cuba,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2019-12-06,Dominican Republic,Mark Noferi; Anne J. Greer,terminate,,,,,male
,2013-06-14,Canada,Charles Adkins-Blanch,remand,,,,,female
,2019-09-19,El Salvador,Ana Landazabal Mann; Gabriel Gonzalez; Edward F. Kelly,remand,,,,,female
,2013-07-31,Philippines,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-05-31,Guatemala,Blair O'Connor,remand,religion; political,gang-based,gang,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",female
,2019-03-19,Mexico,Anne J. Greer,remand,,family-based,child; partner; parent; family,,male
,2019-10-18,,Ellen Liebowitz; Michael P. Baird; Michael J. Creppy,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-03-11,,Ellen Liebowitz,remand,,,,,female
,2013-04-30,Tunisia,Michael J. Creppy,grant,nationality,,,,male
,2019-10-23,Guatemala,Anne J. Greer,remand,,,,,male
,2019-10-03,,Anne J. Greer,sustain,,,,,male
,2019-03-21,China,Charles Adkins-Blanch,remand,,,,,female
,2013-12-13,India,Anne J. Greer,dismiss,,,,,male
asylum; withholding_of_removal; CAT,2019-07-26,Mexico,Charles Adkins-Blanch; Michael P. Baird,remand,social,family-based,son,,male
,2019-09-10,Mexico,Charles Adkins-Blanch; Hugh Mullane,remand,,family-based,child,,male
,2013-01-31,,Gabriel Gonzalez,remand,,,,,unkown
,2019-06-13,Colombia,Anne J. Greer,remand,,,,,male
,2019-01-17,Guatemala,Charles Adkins-Blanch; Edward R. Grant,remand,,family-based,child; family; daughter,,male
,2019-11-07,Mexico,Earle B. Wilson; Anne J. Greer,remand,,,,,male
,2019-08-20,Mexico,Edward F. Kelly; Ana Landazabal Mann; Hugh Mullane,remand,,family-based,child; family,,male
,2013-10-25,Zambia,Charles Adkins-Blanch,deny,,,,,male
,2013-12-05,Mexico,Garry D. Malphrus; Hugh Mullane,dismiss,,,,,male
,2019-03-19,Mexico,Anne J. Greer,remand,nationality,,,,male
,2019-12-23,,Garry D. Malphrus; Hugh Mullane,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-11-14,Cameroon,Ellen Liebowitz; Michael J. Creppy; Mark Noferi,remand,,,,,male
